Player Name,Role,Total IPL Match Innings,Total Runs (Batter/AR),Total Wickets (Bowler/AR),Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy
Abdul Samad,ALL-ROUNDER,63,857,2,19.48,148.8,,11.5
Abhinandan Singh,BOWLER,3,,3,,,40.67,12.62
Abishek Porel,WICKETKEEPER,33,769,,25.63,145.4,,
Abhishek Sharma,BATSMAN,89,2378,,29.36,171.2,,
Adam Milne,BOWLER,11,,7,,,44,9.73
Aiden Markram,BATSMAN,66,1671,6,30.38,135.5,59.5,9.6
Ajay Mandal,ALL-ROUNDER,0,0,0,,,,
Ajinkya Rahane,BATSMAN,199,5367,,30.2,126,,
Akash Madhwal,BOWLER,17,,23,,,25.65,10.05
Akash Singh,BOWLER,12,,13,,,29.5,9.2
Akshat Raghuwanshi,BATSMAN,5,53,,10.6,110.42,,
Akeal Hosein,BOWLER,8,21,9,,,26.44,8.3
Allah Ghazanfar,BOWLER,11,,15,,,25.93,10.03
Aman Khan,ALL-ROUNDER,12,115,0,,,,13
Aman Rao Perala,BATSMAN,0,0,,,,,
Amit Kumar,BOWLER,0,,0,,,,
Angkrish Raghuvanshi,BATSMAN,10,163,,16.3,155.24,,
Aniket Verma,BATSMAN,20,315,,21,160.71,,
Anrich Nortje,BOWLER,46,,59,,,25.86,8.96
Anshul Kamboj,BOWLER,3,,2,,,55.5,11.1
Anuj Rawat,WICKETKEEPER,21,318,,19.88,119.1,,
Anukul Roy,ALL-ROUNDER,22,78,15,15.6,120,31.93,8.9
Arjun Tendulkar,BOWLER,5,13,3,6.5,92.85,33.66,9.37
Arshdeep Singh,BOWLER,95,,111,,,28.03,9.15
Arshin Kulkarni,ALL-ROUNDER,3,21,,7,105,,
Ashok Sharma,BOWLER,6,,6,,,38,10.5
Ashutosh Sharma,ALL-ROUNDER,26,564,,29.68,168.9,,
Ashwani Kumar,BOWLER,2,,2,,,32,10
Auqib Nabi,BOWLER,5,10,0,,,,11.46
Avesh Khan,BOWLER,82,,93,,,29.4,9.3
Axar Patel,ALL-ROUNDER,178,2089,139,21.76,133.7,31.7,7.4
Ayush Badoni,BATSMAN,56,1178,4,25.61,140.9,,9.2
Azmatullah Omarzai,ALL-ROUNDER,11,151,15,15.1,149.5,37.9,9.6
Ben Dwarshuis,ALL-ROUNDER,1,0,1,0,0,51,12.75
Bhuvneshwar Kumar,BOWLER,182,,181,,,27.5,7.55
Blessing Muzarabani,BOWLER,2,,4,,,18.75,10.71
Brijesh Sharma,BOWLER,13,2,14,2,50,32.14,9.89
Cameron Green,ALL-ROUNDER,43,1029,23,38.11,151.1,39.04,9.44
Connor Esterhuizen,BATSMAN,0,0,,,,,
Cooper Connolly,ALL-ROUNDER,13,491,,44.64,163.12,,
Corbin Bosch,ALL-ROUNDER,14,0,13,,,19.23,9.2
Daksh Kamra,ALL-ROUNDER,0,0,0,,,,
Danish Malewar,BATSMAN,2,2,,,,,
Dasun Shanaka,ALL-ROUNDER,5,66,1,16.5,134.69,60,12
David Miller,BATSMAN,125,3052,,36.33,139.11,,
Deepak Chahar,BOWLER,79,,77,,,29.2,7.93
Devdutt Padikkal,BATSMAN,64,1587,,25.19,124.96,,
Dewald Brevis,BATSMAN,10,230,,23,142.85,,
Dhruv Jurel,WICKETKEEPER,31,526,,27.68,141.29,,
Digvesh Singh,BOWLER,23,,19,,,43.47,9.08
Dilshan Madushanka,BOWLER,0,,0,,,,
Donovan Ferreira,WICKETKEEPER,2,2,,2,100,,
Dushmantha Chameera,BOWLER,12,,9,,,33,8.73
Eshan Malinga,BOWLER,0,,0,,,,
Finn Allen,WICKETKEEPER,11,349,,34.9,214.11,,
George Linde,BOWLER,0,,0,,,,
Gerald Coetzee,BOWLER,10,,13,,,26.23,10.17
Glenn Phillips,BATSMAN,10,89,,14.83,118.66,,
Gurjapneet Singh,BOWLER,8,,4,,,58.25,9.26
Gurnoor Singh Brar,BOWLER,1,,0,,,,15
Hardik Pandya,ALL-ROUNDER,130,2640,64,30.34,145.85,32.1,8.92
Harnoor Pannu,BATSMAN,0,0,,,,,
Harpreet Brar,ALL-ROUNDER,45,185,28,14.23,131.25,26.5,7.82
Harsh Dubey,ALL-ROUNDER,12,0,13,,,25.08,10.19
Harshal Patel,BOWLER,105,,141,,,23.41,8.68
Heinrich Klaasen,WICKETKEEPER,37,1056,,39.11,171.18,,
Himmat Singh,BATSMAN,2,2,,2,40,,
Ishant Sharma,BOWLER,110,,93,,,34.6,8.16
Ishan Kishan,WICKETKEEPER,107,2730,,28.51,135.92,,
Jacob Bethell,ALL-ROUNDER,9,163,0,18.11,140.52,,
Jacob Duffy,BOWLER,6,,9,,,29.22,10.96
Jason Holder,ALL-ROUNDER,40,259,53,14.38,121.5,30.22,8.81
Jasprit Bumrah,BOWLER,138,,181,,,22.25,7.31
Jayant Yadav,ALL-ROUNDER,16,40,8,13.33,105.26,29.25,6.87
Jaydev Unadkat,BOWLER,101,,105,,,31.85,8.95
Jitesh Sharma,WICKETKEEPER,40,730,,22.81,151.13,,
Jofra Archer,BOWLER,40,,48,,,24.4,7.43
Jordan Cox,WICKETKEEPER,0,0,,,,,
Josh Hazlewood,BOWLER,27,,35,,,23.14,8.06
Josh Inglis,WICKETKEEPER,16,544,,38.86,168.42,,
Jos Buttler,WICKETKEEPER,107,3582,,38.1,147.53,,
Kagiso Rabada,BOWLER,80,,117,,,20.8,8.44
Kamindu Mendis,ALL-ROUNDER,5,92,2,30.67,133.33,,8.57
Kanishk Chouhan,ALL-ROUNDER,0,0,0,,,,
Kartik Sharma,WICKETKEEPER,11,295,,32.78,136.57,,
Kartik Tyagi,BOWLER,19,,15,,,43.13,9.98
Karun Nair,BATSMAN,73,1496,,23.75,127.75,,
Keshav Maharaj,BOWLER,2,,2,,,19.5,7.8
KL Rahul,WICKETKEEPER,125,4683,,45.46,134.6,,
Krains Fuletra,ALL-ROUNDER,2,0,1,,,,
Krish Bhagat,ALL-ROUNDER,3,10,0,,,,10.5
Krunal Pandya,ALL-ROUNDER,118,1690,81,21.94,133.2,31.5,7.37
Kuldeep Sen,BOWLER,13,,16,,,30.68,9.92
Kuldeep Yadav,BOWLER,85,,85,,,27.5,8.24
Kulwant Khejroliya,BOWLER,7,,7,,,33.14,10.15
Kumar Kushagra,WICKETKEEPER,0,0,,,,,
Kwena Maphaka,BOWLER,2,,1,,,75,13.04
Kyle Jamieson,BOWLER,9,65,9,21.66,118.18,31.55,9.6
Lhuan-dre Pretorius,WICKETKEEPER,0,0,,,,,
Liam Livingstone,ALL-ROUNDER,39,939,11,27.61,156.24,32.81,8.75
Lockie Ferguson,BOWLER,45,,43,,,30.76,8.95
Luke Wood,BOWLER,2,,1,,,64,11.63
Lungisani Ngidi,BOWLER,14,,25,,,17.92,8.3
Madhav Tiwari,ALL-ROUNDER,0,0,0,,,,
Manav Suthar,BOWLER,5,,4,,,47,11.75
Mangesh Yadav,ALL-ROUNDER,0,0,0,,,,
Manish Pandey,BATSMAN,79,3850,,29.16,121.2,,
Marco Jansen,ALL-ROUNDER,21,102,24,12.75,127.5,32.5,9.94
Marcus Stoinis,ALL-ROUNDER,78,1850,42,31.35,140.85,28.6,9.65
Matthew Breetzke,BATSMAN,0,0,,,,,
Matthew William Short,ALL-ROUNDER,6,117,0,19.5,124.46,,11
Matt Henry,BOWLER,2,,2,,,32.5,8.12
Mayank Markande,BOWLER,37,,38,,,27.28,8.8
